ROUTE_ID,PLANET_ORIGIN,PLANET_DESTINATION,DISTANCE
1,A,B,0.44
2,A,C,1.89
3,A,D,0.10
4,B,H,2.44
5,B,E,3.45
6,C,F,0.49
7,D,L,2.34
8,D,M,2.61
9,H,G,3.71
10,E,I,8.09
11,F,J,5.46
12,F,K,3.67
13,G,Z,5.25
14,I,Z,13.97
15,I,J,14.78
16,L,T,15.23
17,T,N,10.43
18,T,S,14.22
19,S,O,6.02
20,O,U,5.26
21,J,R,12.34
22,R,P,10.10
24,Z,Y,18.91
25,Y,Q,22.04
26,Q,X,10.51
28,X,K_,19.94
29,P,U,9.31
30,U,K_,21.23
31,U,J_,25.96
32,J_,V,3.16
33,K_,V,20.42
34,J_,I_,17.10
35,Y,A_,19.52
36,A_,B_,31.56
37,B_,C_,23.13
38,K_,W,28.89
39,W,C_,10.64
40,W,E_,36.19
41,C_,D_,36.48
42,E_,E_,41.26
43,E_,F_,42.07
44,F_,G_,17.63
45,G_,H_,40.48
